row_id,dataset,train_size,seed,method,source,primary_method,is_refill,refill_attempt
0,pima,100,2025,ctgan,ctgan,ctgan,False,0
1,pima,100,2025,ctgan,ctgan,ctgan,False,0
2,pima,100,2025,ctgan,ctgan,ctgan,False,0
3,pima,100,2025,ctgan,ctgan,ctgan,False,0
4,pima,100,2025,ctgan,ctgan,ctgan,False,0
5,pima,100,2025,ctgan,ctgan,ctgan,False,0
6,pima,100,2025,ctgan,ctgan,ctgan,False,0
7,pima,100,2025,ctgan,ctgan,ctgan,False,0
8,pima,100,2025,ctgan,ctgan,ctgan,False,0
9,pima,100,2025,ctgan,ctgan,ctgan,False,0
10,pima,100,2025,ctgan,ctgan,ctgan,False,0
11,pima,100,2025,ctgan,ctgan,ctgan,False,0
12,pima,100,2025,ctgan,ctgan,ctgan,False,0
13,pima,100,2025,ctgan,ctgan,ctgan,False,0
14,pima,100,2025,ctgan,ctgan,ctgan,False,0
15,pima,100,2025,ctgan,ctgan,ctgan,False,0
16,pima,100,2025,ctgan,ctgan,ctgan,False,0
17,pima,100,2025,ctgan,ctgan,ctgan,False,0
18,pima,100,2025,ctgan,ctgan,ctgan,False,0
19,pima,100,2025,ctgan,ctgan,ctgan,False,0
20,pima,100,2025,ctgan,ctgan,ctgan,False,0
21,pima,100,2025,ctgan,ctgan,ctgan,False,0
22,pima,100,2025,ctgan,ctgan,ctgan,False,0
23,pima,100,2025,ctgan,ctgan,ctgan,False,0
24,pima,100,2025,ctgan,ctgan,ctgan,False,0
25,pima,100,2025,ctgan,ctgan,ctgan,False,0
26,pima,100,2025,ctgan,ctgan,ctgan,False,0
27,pima,100,2025,ctgan,ctgan,ctgan,False,0
28,pima,100,2025,ctgan,ctgan,ctgan,False,0
29,pima,100,2025,ctgan,ctgan,ctgan,False,0
30,pima,100,2025,ctgan,ctgan,ctgan,False,0
31,pima,100,2025,ctgan,ctgan,ctgan,False,0
32,pima,100,2025,ctgan,ctgan,ctgan,False,0
33,pima,100,2025,ctgan,ctgan,ctgan,False,0
34,pima,100,2025,ctgan,ctgan,ctgan,False,0
35,pima,100,2025,ctgan,ctgan,ctgan,False,0
36,pima,100,2025,ctgan,ctgan,ctgan,False,0
37,pima,100,2025,ctgan,ctgan,ctgan,False,0
38,pima,100,2025,ctgan,ctgan,ctgan,False,0
39,pima,100,2025,ctgan,ctgan,ctgan,False,0
40,pima,100,2025,ctgan,ctgan,ctgan,False,0
41,pima,100,2025,ctgan,ctgan,ctgan,False,0
42,pima,100,2025,ctgan,ctgan,ctgan,False,0
43,pima,100,2025,ctgan,ctgan,ctgan,False,0
44,pima,100,2025,ctgan,ctgan,ctgan,False,0
45,pima,100,2025,ctgan,ctgan,ctgan,False,0
46,pima,100,2025,ctgan,ctgan,ctgan,False,0
47,pima,100,2025,ctgan,ctgan,ctgan,False,0
48,pima,100,2025,ctgan,ctgan,ctgan,False,0
49,pima,100,2025,ctgan,ctgan,ctgan,False,0
50,pima,100,2025,ctgan,ctgan,ctgan,False,0
51,pima,100,2025,ctgan,ctgan,ctgan,False,0
52,pima,100,2025,ctgan,ctgan,ctgan,False,0
53,pima,100,2025,ctgan,ctgan,ctgan,False,0
54,pima,100,2025,ctgan,ctgan,ctgan,False,0
55,pima,100,2025,ctgan,ctgan,ctgan,False,0
56,pima,100,2025,ctgan,ctgan,ctgan,False,0
57,pima,100,2025,ctgan,ctgan,ctgan,False,0
58,pima,100,2025,ctgan,ctgan,ctgan,False,0
59,pima,100,2025,ctgan,ctgan,ctgan,False,0
60,pima,100,2025,ctgan,ctgan,ctgan,False,0
61,pima,100,2025,ctgan,ctgan,ctgan,False,0
62,pima,100,2025,ctgan,ctgan,ctgan,False,0
63,pima,100,2025,ctgan,ctgan,ctgan,False,0
64,pima,100,2025,ctgan,ctgan,ctgan,False,0
65,pima,100,2025,ctgan,ctgan,ctgan,False,0
66,pima,100,2025,ctgan,ctgan,ctgan,False,0
67,pima,100,2025,ctgan,ctgan,ctgan,False,0
68,pima,100,2025,ctgan,ctgan,ctgan,False,0
69,pima,100,2025,ctgan,ctgan,ctgan,False,0
70,pima,100,2025,ctgan,ctgan,ctgan,False,0
71,pima,100,2025,ctgan,ctgan,ctgan,False,0
72,pima,100,2025,ctgan,ctgan,ctgan,False,0
73,pima,100,2025,ctgan,ctgan,ctgan,False,0
74,pima,100,2025,ctgan,ctgan,ctgan,False,0
75,pima,100,2025,ctgan,ctgan,ctgan,False,0
76,pima,100,2025,ctgan,ctgan,ctgan,False,0
77,pima,100,2025,ctgan,ctgan,ctgan,False,0
78,pima,100,2025,ctgan,ctgan,ctgan,False,0
79,pima,100,2025,ctgan,ctgan,ctgan,False,0
80,pima,100,2025,ctgan,ctgan,ctgan,False,0
81,pima,100,2025,ctgan,ctgan,ctgan,False,0
82,pima,100,2025,ctgan,ctgan,ctgan,False,0
83,pima,100,2025,ctgan,ctgan,ctgan,False,0
84,pima,100,2025,ctgan,ctgan,ctgan,False,0
85,pima,100,2025,ctgan,ctgan,ctgan,False,0
86,pima,100,2025,ctgan,ctgan,ctgan,False,0
87,pima,100,2025,ctgan,ctgan,ctgan,False,0
88,pima,100,2025,ctgan,ctgan,ctgan,False,0
89,pima,100,2025,ctgan,ctgan,ctgan,False,0
90,pima,100,2025,ctgan,ctgan,ctgan,False,0
91,pima,100,2025,ctgan,ctgan,ctgan,False,0
92,pima,100,2025,ctgan,ctgan,ctgan,False,0
93,pima,100,2025,ctgan,ctgan,ctgan,False,0
94,pima,100,2025,ctgan,ctgan,ctgan,False,0
95,pima,100,2025,ctgan,ctgan,ctgan,False,0
96,pima,100,2025,ctgan,ctgan,ctgan,False,0
97,pima,100,2025,ctgan,ctgan,ctgan,False,0
98,pima,100,2025,ctgan,ctgan,ctgan,False,0
99,pima,100,2025,ctgan,ctgan,ctgan,False,0
100,pima,100,2025,ctgan,ctgan,ctgan,False,0
