age,workclass,education,education-num,marital-status,occupation,race,sex,hours-per-week,income
48,Self-emp-inc,HS-grad,9,Widowed,Sales,Black,Male,40,>50K
19,Private,10th,6,Never-married,Sales,White,Female,12,<=50K
28,Self-emp-not-inc,Masters,14,Widowed,Prof-specialty,Black,Male,55,>50K
39,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,White,Female,65,>50K
22,Local-gov,Some-college,10,Divorced,Sales,Black,Male,30,<=50K
33,Local-gov,10th,6,Never-married,Machine-op-inspct,Black,Male,35,<=50K
18,Local-gov,HS-grad,9,Never-married,Sales,Black,Female,15,<=50K
24,Self-emp-inc,10th,6,Divorced,Machine-op-inspct,White,Male,30,<=50K
62,Local-gov,Some-college,10,Widowed,Sales,Black,Male,65,>50K
57,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,White,Female,55,>50K
41,Local-gov,Masters,14,Widowed,Sales,Black,Male,60,>50K
26,Local-gov,Some-college,10,Widowed,Machine-op-inspct,Black,Female,30,<=50K
58,Private,HS-grad,9,Never-married,Sales,White,Female,45,<=50K
25,Self-emp-not-inc,HS-grad,9,Never-married,Sales,White,Female,35,>50K
38,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,45,<=50K
22,Self-emp-not-inc,Some-college,10,Never-married,Machine-op-inspct,White,Female,30,>50K
44,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Asian-Pac-Islander,Male,40,<=50K
28,Self-emp-not-inc,HS-grad,9,Never-married,Exec-managerial,White,Male,45,>50K
32,Local-gov,Some-college,10,Divorced,Sales,Asian-Pac-Islander,Female,40,<=50K
48,Private,Bachelors,13,Never-married,Craft-repair,Asian-Pac-Islander,Female,30,<=50K
27,Private,Bachelors,13,Never-married,Craft-repair,Asian-Pac-Islander,Female,40,<=50K
39,Self-emp-not-inc,Bachelors,13,Never-married,Prof-specialty,Asian-Pac-Islander,Female,45,>50K
40,Local-gov,Bachelors,13,Never-married,Sales,Asian-Pac-Islander,Female,45,>50K
36,Local-gov,Bachelors,13,Never-married,Sales,Asian-Pac-Islander,Female,40,<=50K
38,Private,9th,5,Married-civ-spouse,Craft-repair,Amer-Indian-Eskimo,Male,30,>50K
40,Self-emp-inc,Bachelors,13,Separated,Sales,White,Female,58,>50K
51,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,White,Male,32,<=50K
35,Local-gov,Assoc-voc,11,Divorced,Other-service,Black,Male,45,>50K
39,Private,Some-college,10,Married-civ-spouse,Craft-repair,White,Male,55,>50K
46,Self-emp-inc,Bachelors,13,Separated,Sales,White,Female,60,>50K
35,Private,HS-grad,9,Divorced,Craft-repair,White,Male,30,>50K
42,Private,Some-college,10,Married-civ-spouse,Adm-clerical,White,Male,48,>50K
38,Self-emp-inc,Bachelors,13,Separated,Craft-repair,Black,Male,52,>50K
51,Local-gov,Assoc-voc,11,Divorced,Prof-specialty,Amer-Indian-Eskimo,Female,45,<=50K
40,Private,9th,5,Married-civ-spouse,Sales,White,Male,35,>50K
39,Local-gov,Some-college,10,Married-civ-spouse,Craft-repair,Amer-Indian-Eskimo,Male,40,<=50K
42,Self-emp-inc,Bachelors,13,Divorced,Other-service,White,Female,38,>50K
35,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Amer-Indian-Eskimo,Male,32,<=50K
41,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,White,Male,45,<=50K
23,Federal-gov,Some-college,10,Divorced,Craft-repair,Black,Male,30,<=50K
