age,workclass,education,education-num,marital-status,occupation,race,sex,hours-per-week,income
39,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Asian-Pac-Islander,Male,41,<=50K
44,State-gov,9th,5,Never-married,Priv-house-serv,Other,Male,67,<=50K
21,Private,Bachelors,13,Married-civ-spouse,Other-service,White,Female,44,<=50K
18,Private,HS-grad,9,Separated,Prof-specialty,White,Male,40,<=50K
47,Private,HS-grad,9,Married-civ-spouse,Craft-repair,White,Male,35,<=50K
17,Federal-gov,10th,6,Married-civ-spouse,Craft-repair,Other,Male,23,<=50K
25,Private,HS-grad,9,Divorced,Prof-specialty,White,Male,2,>50K
17,Private,Some-college,10,Married-civ-spouse,Craft-repair,Amer-Indian-Eskimo,Female,69,>50K
25,Private,Assoc-voc,11,Never-married,Adm-clerical,White,Male,15,<=50K
49,Private,Some-college,10,Never-married,Farming-fishing,White,Male,38,<=50K
29,Self-emp-not-inc,Bachelors,13,Never-married,Craft-repair,Amer-Indian-Eskimo,Female,6,<=50K
22,Federal-gov,Some-college,10,Married-civ-spouse,Craft-repair,White,Male,38,<=50K
17,Private,Some-college,10,Never-married,Protective-serv,White,Female,35,<=50K
31,Private,Some-college,10,Never-married,Transport-moving,White,Male,2,<=50K
47,Private,HS-grad,9,Never-married,Machine-op-inspct,Black,Female,43,>50K
30,Private,Doctorate,16,Married-civ-spouse,Tech-support,White,Female,38,<=50K
24,Private,Masters,14,Married-civ-spouse,Craft-repair,White,Male,38,>50K
24,State-gov,Some-college,10,Married-civ-spouse,Other-service,White,Female,34,<=50K
17,Private,HS-grad,9,Married-civ-spouse,Other-service,White,Female,38,<=50K
17,Private,Some-college,10,Divorced,Sales,White,Male,44,>50K
27,Private,Doctorate,16,Separated,Machine-op-inspct,White,Male,42,>50K
51,Local-gov,Prof-school,15,Never-married,Transport-moving,Black,Female,38,<=50K
27,Self-emp-not-inc,Bachelors,13,Widowed,Transport-moving,White,Male,28,<=50K
26,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Female,3,>50K
20,Private,Assoc-voc,11,Never-married,Handlers-cleaners,White,Male,41,>50K
38,Private,HS-grad,9,Never-married,Other-service,White,Male,51,<=50K
26,Federal-gov,HS-grad,9,Never-married,Handlers-cleaners,White,Male,2,<=50K
17,Local-gov,Assoc-acdm,12,Never-married,Exec-managerial,White,Female,44,<=50K
17,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Black,Female,41,<=50K
32,Private,Some-college,10,Never-married,Adm-clerical,White,Male,2,<=50K
17,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,23,>50K
17,Private,HS-grad,9,Married-spouse-absent,Craft-repair,White,Male,42,>50K
60,Federal-gov,Assoc-voc,11,Widowed,Adm-clerical,Amer-Indian-Eskimo,Male,37,>50K
42,Private,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Black,Male,40,<=50K
23,Private,Some-college,10,Divorced,Machine-op-inspct,Asian-Pac-Islander,Male,39,>50K
17,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,White,Male,10,>50K
29,Private,Some-college,10,Never-married,Other-service,White,Female,41,<=50K
19,Private,Some-college,10,Divorced,Craft-repair,White,Female,40,<=50K
48,Federal-gov,Some-college,10,Never-married,Craft-repair,White,Female,38,<=50K
79,Private,1st-4th,2,Divorced,Other-service,Black,Male,40,<=50K
44,Private,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Black,Female,22,<=50K
27,State-gov,HS-grad,9,Divorced,Sales,White,Male,42,<=50K
27,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,White,Male,23,>50K
19,Private,Bachelors,13,Married-civ-spouse,Sales,White,Male,19,<=50K
28,Private,Bachelors,13,Never-married,Adm-clerical,White,Female,2,<=50K
24,Private,Bachelors,13,Never-married,Adm-clerical,White,Male,42,<=50K
33,Private,Some-college,10,Married-civ-spouse,Exec-managerial,White,Female,70,<=50K
17,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Black,Female,34,>50K
36,Private,1st-4th,2,Married-civ-spouse,Exec-managerial,White,Male,41,>50K
21,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,White,Male,18,<=50K
39,Private,Some-college,10,Never-married,Adm-clerical,Other,Male,64,<=50K
17,Private,1st-4th,2,Divorced,Machine-op-inspct,White,Male,43,>50K
38,Private,Masters,14,Married-civ-spouse,Machine-op-inspct,White,Male,48,<=50K
56,Private,12th,8,Never-married,Adm-clerical,White,Female,35,<=50K
21,Private,Bachelors,13,Never-married,Farming-fishing,Asian-Pac-Islander,Male,38,>50K
