age,workclass,education,education-num,marital-status,occupation,race,sex,hours-per-week,income
63,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,White,Male,51,<=50K
46,Private,9th,5,Separated,Adm-clerical,White,Female,43,<=50K
34,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,White,Male,43,<=50K
53,Private,HS-grad,9,Divorced,Craft-repair,White,Male,78,<=50K
75,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,White,Male,51,<=50K
47,Local-gov,Preschool,1,Separated,Sales,White,Male,42,>50K
49,Private,7th-8th,4,Divorced,Adm-clerical,Black,Female,71,<=50K
19,Private,Some-college,10,Married-AF-spouse,Farming-fishing,White,Male,43,<=50K
23,Private,Assoc-acdm,12,Married-civ-spouse,Machine-op-inspct,White,Male,43,<=50K
84,Private,Assoc-voc,11,Never-married,Exec-managerial,White,Male,41,<=50K
47,Private,Some-college,10,Never-married,Transport-moving,White,Female,43,>50K
31,Self-emp-inc,HS-grad,9,Widowed,Exec-managerial,Other,Female,39,<=50K
22,Private,Bachelors,13,Married-civ-spouse,Priv-house-serv,White,Female,40,<=50K
29,Private,HS-grad,9,Married-civ-spouse,Sales,White,Male,56,>50K
61,Private,HS-grad,9,Separated,Other-service,White,Male,40,<=50K
67,Private,Doctorate,16,Never-married,Machine-op-inspct,White,Female,43,<=50K
24,Private,Some-college,10,Married-civ-spouse,Sales,White,Male,42,>50K
51,Private,Prof-school,15,Married-civ-spouse,Machine-op-inspct,White,Male,78,>50K
75,Private,HS-grad,9,Never-married,Handlers-cleaners,White,Male,32,<=50K
75,Private,HS-grad,9,Separated,Exec-managerial,White,Female,76,<=50K
78,Private,HS-grad,9,Separated,Exec-managerial,White,Male,41,>50K
42,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,White,Male,42,<=50K
34,Self-emp-inc,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Black,Female,67,<=50K
35,Private,HS-grad,9,Never-married,Exec-managerial,White,Male,39,<=50K
42,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Amer-Indian-Eskimo,Male,69,<=50K
48,Private,HS-grad,9,Married-civ-spouse,Transport-moving,White,Female,49,<=50K
73,Private,11th,7,Never-married,Exec-managerial,White,Female,54,<=50K
55,Private,Assoc-acdm,12,Never-married,Craft-repair,White,Female,39,<=50K
54,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Black,Male,92,<=50K
48,State-gov,HS-grad,9,Married-civ-spouse,Sales,White,Female,80,<=50K
75,Private,Some-college,10,Divorced,Machine-op-inspct,White,Male,59,<=50K
