age,workclass,education,education-num,marital-status,occupation,race,sex,hours-per-week,income
19,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Adm-clerical,White,Male,8,<=50K
19,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,White,Male,39,<=50K
19,Private,HS-grad,9,Married-civ-spouse,Sales,White,Female,72,>50K
30,Private,11th,7,Never-married,Prof-specialty,White,Male,43,<=50K
19,State-gov,Some-college,10,Married-civ-spouse,Sales,White,Female,44,<=50K
19,Private,Preschool,1,Married-AF-spouse,Prof-specialty,White,Male,48,<=50K
35,Private,Bachelors,13,Married-civ-spouse,Craft-repair,White,Female,47,<=50K
19,Private,12th,8,Married-AF-spouse,Craft-repair,White,Female,49,<=50K
19,State-gov,Bachelors,13,Married-civ-spouse,Protective-serv,White,Female,29,>50K
22,Private,Masters,14,Married-spouse-absent,Sales,White,Male,60,>50K
40,Self-emp-inc,Some-college,10,Married-civ-spouse,Tech-support,White,Female,41,>50K
24,State-gov,Some-college,10,Never-married,Craft-repair,White,Male,47,<=50K
28,Private,HS-grad,9,Never-married,Exec-managerial,White,Female,42,>50K
21,Federal-gov,Some-college,10,Married-civ-spouse,Tech-support,White,Female,40,>50K
22,Self-emp-not-inc,HS-grad,9,Never-married,Tech-support,White,Female,62,>50K
19,Private,Some-college,10,Married-civ-spouse,Transport-moving,White,Female,24,<=50K
19,Private,1st-4th,2,Married-civ-spouse,Prof-specialty,White,Male,35,>50K
20,Federal-gov,HS-grad,9,Married-civ-spouse,Prof-specialty,Amer-Indian-Eskimo,Male,44,<=50K
19,Private,Assoc-acdm,12,Married-civ-spouse,Tech-support,Black,Female,42,>50K
26,Private,HS-grad,9,Married-civ-spouse,Other-service,White,Male,44,<=50K
23,Local-gov,Assoc-voc,11,Never-married,Prof-specialty,Black,Male,46,>50K
32,Private,Masters,14,Married-civ-spouse,Prof-specialty,White,Male,43,<=50K
19,State-gov,HS-grad,9,Married-civ-spouse,Prof-specialty,White,Male,43,<=50K
37,Private,12th,8,Married-civ-spouse,Prof-specialty,White,Male,47,<=50K
26,State-gov,9th,5,Divorced,Prof-specialty,White,Male,42,>50K
22,State-gov,Some-college,10,Married-civ-spouse,Prof-specialty,White,Male,43,<=50K
19,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,White,Male,68,<=50K
36,State-gov,Some-college,10,Married-civ-spouse,Tech-support,White,Female,44,<=50K
30,Local-gov,Some-college,10,Married-spouse-absent,Transport-moving,White,Female,42,<=50K
39,Private,Some-college,10,Married-civ-spouse,Exec-managerial,White,Male,50,>50K
19,Private,HS-grad,9,Never-married,Prof-specialty,White,Female,46,<=50K
19,Private,HS-grad,9,Never-married,Tech-support,White,Male,40,<=50K
28,Federal-gov,HS-grad,9,Never-married,Adm-clerical,White,Female,72,<=50K
19,Private,Prof-school,15,Married-civ-spouse,Transport-moving,White,Male,38,<=50K
19,Private,Prof-school,15,Married-civ-spouse,Other-service,White,Female,44,<=50K
25,Private,HS-grad,9,Never-married,Machine-op-inspct,White,Male,37,>50K
19,Self-emp-not-inc,Some-college,10,Widowed,Craft-repair,White,Female,41,>50K
34,Private,Some-college,10,Separated,Adm-clerical,White,Male,46,<=50K
40,Private,Assoc-voc,11,Widowed,Handlers-cleaners,White,Male,42,<=50K
39,State-gov,Some-college,10,Married-spouse-absent,Prof-specialty,White,Male,60,>50K
26,Local-gov,Bachelors,13,Married-civ-spouse,Tech-support,White,Female,37,<=50K
20,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,White,Female,54,>50K
28,Private,Some-college,10,Separated,Adm-clerical,White,Male,45,<=50K
