age,workclass,education,education-num,marital-status,occupation,race,sex,hours-per-week,income
40,Private,HS-grad,9,Married-civ-spouse,Sales,White,Female,19,>50K
32,Private,HS-grad,9,Never-married,Priv-house-serv,White,Female,39,<=50K
33,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,White,Male,21,<=50K
51,Self-emp-not-inc,Some-college,10,Never-married,Craft-repair,White,Male,69,<=50K
33,Private,12th,8,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Female,49,<=50K
28,Private,9th,5,Married-civ-spouse,Handlers-cleaners,White,Male,41,>50K
34,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,White,Male,47,<=50K
27,Private,HS-grad,9,Divorced,Machine-op-inspct,White,Male,39,<=50K
58,Private,10th,6,Married-civ-spouse,Sales,White,Male,44,<=50K
28,Private,Some-college,10,Divorced,Handlers-cleaners,Other,Male,40,<=50K
39,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,White,Female,41,<=50K
34,Private,Masters,14,Married-civ-spouse,Exec-managerial,White,Male,44,>50K
39,Private,HS-grad,9,Divorced,Machine-op-inspct,White,Female,46,<=50K
27,State-gov,HS-grad,9,Never-married,Adm-clerical,White,Female,40,>50K
19,Private,12th,8,Never-married,Tech-support,White,Female,69,<=50K
19,Private,Bachelors,13,Never-married,Machine-op-inspct,White,Male,44,<=50K
20,Private,Some-college,10,Never-married,Adm-clerical,White,Female,43,<=50K
37,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,White,Male,44,<=50K
54,Local-gov,Bachelors,13,Never-married,Craft-repair,White,Male,37,<=50K
33,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Black,Female,46,>50K
17,Private,Bachelors,13,Married-civ-spouse,Craft-repair,White,Male,46,<=50K
51,Private,Bachelors,13,Married-civ-spouse,Craft-repair,White,Male,41,<=50K
30,Private,10th,6,Separated,Craft-repair,White,Male,43,>50K
24,Private,Some-college,10,Never-married,Adm-clerical,White,Male,41,>50K
28,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Black,Female,21,<=50K
39,Private,Masters,14,Married-civ-spouse,Sales,White,Male,38,>50K
23,Private,Assoc-voc,11,Divorced,Exec-managerial,White,Male,42,>50K
59,Local-gov,12th,8,Separated,Craft-repair,Black,Male,22,>50K
26,Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Black,Male,17,<=50K
38,Private,Some-college,10,Married-civ-spouse,Exec-managerial,White,Male,48,<=50K
43,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,White,Female,45,<=50K
52,Self-emp-not-inc,Some-college,10,Divorced,Transport-moving,White,Male,39,<=50K
63,State-gov,12th,8,Married-civ-spouse,Adm-clerical,White,Male,12,<=50K
34,Private,Assoc-acdm,12,Married-civ-spouse,Other-service,White,Male,19,<=50K
55,Local-gov,Some-college,10,Married-civ-spouse,Exec-managerial,White,Female,63,<=50K
29,Local-gov,HS-grad,9,Never-married,Machine-op-inspct,White,Male,47,<=50K
19,Private,Bachelors,13,Divorced,Exec-managerial,White,Male,27,<=50K
17,Private,Bachelors,13,Married-civ-spouse,Tech-support,Amer-Indian-Eskimo,Male,13,<=50K
17,Local-gov,Doctorate,16,Divorced,Exec-managerial,Black,Male,47,<=50K
17,Private,Bachelors,13,Married-civ-spouse,Other-service,White,Male,43,<=50K
49,Private,Bachelors,13,Separated,Sales,White,Male,39,>50K
43,Self-emp-not-inc,HS-grad,9,Divorced,Other-service,White,Male,22,<=50K
23,Private,HS-grad,9,Divorced,Handlers-cleaners,White,Male,38,<=50K
38,Private,Doctorate,16,Never-married,Adm-clerical,Black,Male,44,>50K
44,Private,HS-grad,9,Never-married,Sales,White,Female,59,<=50K
29,Private,10th,6,Never-married,Other-service,White,Male,19,>50K
20,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,White,Male,41,<=50K
23,Private,1st-4th,2,Never-married,Exec-managerial,White,Male,38,<=50K
36,Private,HS-grad,9,Married-civ-spouse,Transport-moving,White,Male,41,<=50K
66,Private,Some-college,10,Married-civ-spouse,Exec-managerial,White,Male,18,>50K
17,Private,11th,7,Separated,Exec-managerial,White,Male,69,<=50K
30,Private,HS-grad,9,Never-married,Tech-support,White,Male,20,<=50K
43,State-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,White,Male,38,<=50K
17,Private,HS-grad,9,Married-civ-spouse,Other-service,White,Male,34,<=50K
18,Private,Bachelors,13,Separated,Tech-support,White,Male,46,<=50K
53,Private,Assoc-acdm,12,Never-married,Craft-repair,Black,Female,41,>50K
60,Private,Bachelors,13,Married-spouse-absent,Machine-op-inspct,White,Male,24,<=50K
30,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Asian-Pac-Islander,Male,42,<=50K
30,Private,Bachelors,13,Married-spouse-absent,Sales,White,Male,44,<=50K
31,Private,Preschool,1,Divorced,Prof-specialty,White,Female,19,<=50K
36,Private,Some-college,10,Divorced,Exec-managerial,White,Female,72,<=50K
44,Private,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,White,Female,19,<=50K
22,Self-emp-not-inc,Masters,14,Never-married,Craft-repair,White,Female,66,<=50K
32,Private,Some-college,10,Never-married,Other-service,White,Female,22,<=50K
27,Private,Bachelors,13,Married-civ-spouse,Handlers-cleaners,White,Male,35,<=50K
38,Local-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Black,Male,41,<=50K
60,Private,HS-grad,9,Never-married,Transport-moving,White,Male,45,<=50K
46,Private,HS-grad,9,Married-spouse-absent,Other-service,White,Male,16,<=50K
27,Private,Prof-school,15,Married-civ-spouse,Craft-repair,White,Male,40,<=50K
17,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,White,Female,42,<=50K
20,Private,Bachelors,13,Married-civ-spouse,Transport-moving,White,Male,39,>50K
61,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,White,Male,37,<=50K
37,State-gov,Bachelors,13,Divorced,Exec-managerial,White,Male,36,<=50K
44,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,White,Male,45,<=50K
